Decrease,Distance from Center,Mins to Event
1.587,1959.016,30
29.630,1606.074,30
25.926,1954.233,30
29.630,2339.371,30
29.630,1324.397,30
25.926,1730.185,30
29.630,2155.720,30
1.695,722.999,30
1.695,325.450,30
9.091,321.223,30
18.182,717.305,30
1.695,321.247,30
26.667,1156.385,30
23.333,1605.216,30
56.000,2056.767,30
61.290,715.393,30
84.483,713.493,30
50.000,1601.837,30
66.667,1950.752,30
78.261,2336.464,30
58.824,1948.655,30
76.087,2244.297,30
60.000,2586.611,30
1.786,2050.083,30
7.018,2332.380,30
62.857,2584.509,30
60.000,2886.772,30
5.172,2894.949,60
1.563,2592.661,60
5.882,2340.327,60
5.882,2155.562,60
5.882,1956.874,60
5.882,1731.643,60
27.273,1606.829,60
27.273,1606.015,60
27.273,1729.378,60
5.882,1610.230,60
1.639,325.450,60
7.143,1157.560,60
35.000,1606.063,60
35.000,2057.427,60
1.639,321.247,60
1.695,713.493,60
3.636,1152.824,60
21.739,1319.244,60
53.333,1601.837,60
53.333,1950.752,60
78.846,2336.464,60
3.333,1723.868,60
64.706,1948.655,60
78.846,2244.297,60
86.538,2586.611,60
3.333,2050.083,60
33.333,2148.111,60
86.538,2584.509,60
86.538,2886.772,60
3.333,0.000,90
6.897,2894.949,90
3.125,2592.661,90
3.125,2594.824,90
3.125,2252.597,90
1.852,2344.508,90
3.125,1959.016,90
3.333,1327.410,90
1.852,2161.377,90
3.333,722.999,90
3.333,325.450,90
23.810,321.223,90
23.810,717.305,90
3.333,321.247,90
20.000,1156.385,90
20.000,1605.216,90
1.587,715.393,90
19.231,2586.611,90
1.724,2332.380,90
19.231,2584.509,90
19.231,2886.772,90
59.259,2056.656,90
59.259,1606.015,90
59.259,1324.385,90
59.259,1324.397,90
27.273,1611.166,90
27.273,963.627,90
22.727,2591.156,90
22.727,2248.371,90
22.727,1952.007,90
22.727,1726.142,90
22.727,1600.898,90
23.810,1600.081,90
23.810,1723.868,90
23.810,2050.083,90
23.810,2148.111,90
40.741,2056.656,120
40.741,1606.015,120
40.741,1324.385,120
40.741,1324.397,120
40.741,2056.656,150
24.138,2589.238,150
40.741,1606.015,150
40.741,1324.385,150
40.741,1324.397,150
55.556,717.305,150
36.364,1156.385,180
36.364,1605.216,180
27.273,2056.767,180
27.273,1321.314,180
36.364,1727.827,180
27.273,2153.828,180
36.364,1950.752,180
27.273,2336.464,180
36.364,2244.297,180
27.273,2586.611,180
35.294,2890.722,210
35.294,2587.940,210
35.294,2335.096,210
35.294,2149.880,210
35.294,2050.701,210
71.429,2056.656,-90
19.048,2056.040,-90
19.048,2337.618,-90
21.053,1731.643,-90
21.053,1606.829,-90
71.429,1606.015,-90
19.048,1729.378,-90
19.048,1953.531,-90
19.048,2248.532,-90
21.053,1159.857,-90
21.053,1158.703,-90
71.429,1324.385,-90
19.048,1606.074,-90
19.048,1954.233,-90
21.053,963.633,-90
71.429,1324.397,-90
21.053,1157.560,-90
7.143,2591.156,-90
13.333,2248.371,-90
7.143,1952.007,-90
13.333,1726.142,-90
13.333,1600.898,-90
33.333,2332.380,-90
33.333,2584.509,-90
33.333,2886.772,-90
66.667,2056.656,-30
13.636,2056.040,-30
8.333,2153.797,-30
13.636,2337.618,-30
66.667,1606.015,-30
13.636,1729.378,-30
13.636,1953.531,-30
13.636,2248.532,-30
33.333,1327.410,-30
66.667,1324.385,-30
13.636,1606.074,-30
13.636,1954.233,-30
8.333,2339.371,-30
33.333,721.069,-30
33.333,719.185,-30
66.667,1324.397,-30
8.333,1730.185,-30
8.333,2155.720,-30
44.444,717.305,-30
8.333,2057.427,-30
27.273,1611.166,-30
27.273,963.627,-30
33.333,959.393,-30
33.333,1319.244,-30
33.333,1601.837,-30
33.333,1948.655,-30
11.111,2890.722,-30
11.111,2335.096,-30
11.111,2050.701,-30
31.250,2056.656,-30
5.263,2056.040,-30
5.263,2337.618,-30
31.250,1606.015,-30
5.263,1729.378,-30
5.263,1953.531,-30
5.263,2248.532,-30
25.000,1327.410,-30
31.250,1324.385,-30
5.263,1606.074,-30
5.263,1954.233,-30
25.000,721.069,-30
25.000,719.185,-30
31.250,1324.397,-30
33.333,717.305,-30
12.500,959.393,-30
7.692,1152.824,-30
