35.1288590759,-90.0548813832,29,29,1.0,0.94,1520968379.29
35.1498266771,-90.0628517026,62,60,0.97,0.96,1520968379.55
35.1261869707,-90.0697368423,53,50,0.94,0.97,1520968379.82
35.1217622038,-90.0357678848,39,39,1.0,0.95,1520968380.08
35.1244502905,-90.0340307731,39,39,1.0,0.95,1520968380.34
35.1287171933,-90.0281507134,29,22,0.76,0.97,1520968380.6
35.1583641637,-90.0250820591,25,25,1.0,0.84,1520968380.87
35.1450548742,-90.0349357184,31,31,1.0,0.93,1520968381.13
35.1604673615,-90.023580725,31,31,1.0,0.95,1520968381.4
35.1200324059,-90.0441686127,31,31,1.0,0.95,1520968381.67
35.1503673275,-90.0454693022,12,5,0.42,0.71,1520968381.95
35.1228925013,-90.0707355352,52,47,0.9,0.97,1520968382.22
35.1537790189,-90.0710366779,62,59,0.95,0.96,1520968382.65
35.1179491676,-90.0697029128,47,43,0.91,0.97,1520968382.9
35.1294920672,-90.0614829123,22,22,1.0,0.56,1520968383.18
35.1515414468,-90.0636173506,62,60,0.97,0.96,1520968383.44
35.1459432377,-90.0425539693,22,22,1.0,0.9,1520968383.7
35.1176863773,-90.070973645,47,43,0.91,0.97,1520968383.96
35.1559445,-90.0465669329,58,57,0.98,0.96,1520968384.23
35.1499811611,-90.0673309528,62,60,0.97,0.96,1520968384.5
35.1156877603,-90.0590257316,36,36,1.0,0.94,1520968384.77
35.1356953291,-90.0363112752,31,31,1.0,0.97,1520968385.04
35.1487674206,-90.0284120529,60,59,0.98,0.96,1520968385.3
35.1209006957,-90.0277072799,60,58,0.97,0.97,1520968385.71
35.1369422017,-90.074874701,53,51,0.96,0.96,1520968385.99
35.139232232,-90.0671640065,41,34,0.83,0.83,1520968386.25
35.1364681489,-90.0575446599,23,23,1.0,0.96,1520968386.53
35.1396211498,-90.0774915608,53,50,0.94,0.97,1520968386.79
35.1318648653,-90.0302151382,32,32,1.0,0.95,1520968387.06
35.1547303047,-90.0558758061,58,57,0.98,0.96,1520968387.32
35.1572765095,-90.0659664288,62,60,0.97,0.97,1520968387.59
35.1514138093,-90.0491112003,61,60,0.98,0.96,1520968387.86
35.1337774,-90.0297978103,23,23,1.0,0.96,1520968388.15
35.1426305793,-90.0417820406,24,24,1.0,0.92,1520968388.41
35.1550488488,-90.0619774507,62,60,0.97,0.97,1520968388.67
35.1259139027,-90.0664098668,47,41,0.87,0.98,1520968388.95
35.1270785712,-90.0381181358,28,28,1.0,0.95,1520968389.23
